玩家评价,是否推荐,游玩时长(小时),觉得有价值的人数,觉得好笑的人数
"烂！！
联机体验巨差无比！！！！！！！！！！！！！
总是死机！！！！
不建议和朋友玩，非常折磨！！！！！！
游戏内容和玩法没有多大的变化，多的内容均可以在1部创意工坊中找到！！！",不推荐,25.4,0,0
相当于在一代的基础上，差不多体系的情况下多了点新的牌，更新了新的怪物体系，闹麻了，还新增了点动画就端上来了。,不推荐,4.2,0,0
"😅进阶9只掉白卡跟少量蓝卡这是否有点？
😅花园鳗真的是一层的精英难度吗？
😅两只对猎宝特攻的怪是何意味？",推荐,55.2,3,1
"优化手感,以及增加切换画风的选项.
有一个就改好评",不推荐,0.8,1,0
基础难度已经相当于1代的进阶20了。还有各种垃圾遗物和垃圾牌，怪的各种垃圾机制可以让人直接脑溢血。,不推荐,14.6,1,0
单人模式平衡调整极差，强制让你找人组队降低难度。单人没人陪不建议买，对于单人更像披着魂系的卡牌游戏，折磨度远大于爽度。没有设置操作门槛但是设置了运，赢门槛，同品质同类型卡牌明显存在不同获得概率，强制延长游玩时间。玩法起手自由度差，全是策划教你玩游戏。经典m魂游，不是m别来,不推荐,8.3,0,1
感觉不是很好玩，还是塔一那点的东西。,不推荐,1.2,0,0
缺少完成度，忽略小巧思或美术都不是问题，但在卡牌设计上绝对不能没活，两个新角色都能看见崩坠和蕾忍的设计思路，在原创的灾厄和铸造词条在强度上和mod的设计相比较，却是高下立判啊，但总体来说比前作更好玩,推荐,19.0,0,0
游戏可能是好游戏，但是一直在崩溃。最后面崩溃读档崩溃读档一个实验体8打了一个多小时。,不推荐,12.4,0,0
"虽然游戏目前是抢先体验版，数值机制不够平衡很正常，但[b] 双人联机的游玩体验相当糟糕 [/b]。
双人联机下敌人的数值和机制相比单人游玩有着断崖式的提升，但是玩家胡牌的概率以及能从队友处获得的团队收益相比三人、四人联机又显著降低。
[b] 如果你打算奔着联机模式游玩，且暂时只能找到一位朋友结伴爬塔，那么不推荐购买 [/b]。",不推荐,34.4,0,0
镶符文、一层事件加强和过boss奖励太超模，变无脑爽游了。怪物火车主打rpg养成大哥，且机制足够复杂，镶符文既符合风味，也能增加趣味性，而杀戮尖塔1代是1层稳稳过渡，2层慢慢凑体系，3层胡了爽爽推，很有乐趣，而二代变成了无脑找超模牌，然后再给超模牌贴超模皮，从胡体系变成了胡牌，游戏就变得很无聊。,不推荐,3.3,0,0
什么情况我明明全角色通了一遍，怎么回档了剩了最后没通的半路的亡灵，放弃了还不让我开一把，出去看成就也没了,不推荐,10.3,0,0
屎，网络连接完全连不上，狗屎依托，起码把服务器做做好再出来卖吧，卖这么贵连服务器都搞不好,不推荐,16.9,0,0
不能SL调牌序真是个败笔，平衡说是有百人测试团队结果出来个这么不平衡的玩意,不推荐,42.3,0,0
不喜欢，朋友送的，联机体验有待提高，感觉名不副实,不推荐,11.0,0,0
"创新不足：核心框架几乎没变，像“威力加强版DLC”，缺少颠覆性新系统。
​
数值与难度：怪物数值膨胀，觉得小怪更阴间 。

打击感与BGM：打击感不如一代，BGM不够抓耳 。",推荐,9.4,0,0
初版真的坐大牢，这里建议去买怪物火车2玩到他更新出正式版。,不推荐,4.8,0,0
目前这稳定性太扯淡了吧 我打一把程序崩溃两回了 还都是在boss战的时候 什么时候稳定性变好了再改好评,不推荐,11.5,1,1
一点核显优化都不做的吗？不是丢个攻击动画能给我卡成6帧的？我塔一120帧全高都没问题怎么到塔2就卡成区了？,不推荐,0.8,0,0
上班爽游，玩着玩着就下班，我现在节假日玩尖塔2都觉得亏钱，应当给你发工资,推荐,35.1,1,0
"鸡
鸡煲
鸡煲最强
鸡煲最强塔二无敌",推荐,31.1,1,0
"第一层怪数值比较膨胀，容易暴毙
但是新角色太好玩了，战斗爽",推荐,27.5,1,0
"凌晨打双人联机打到破防，于是写下了这个测评。由于是红温后破防来写的，很多东西也许不理性，请见谅。我可以理解设计师认为人数和强度应该挂钩，打了50个小时之后我怎么都认为双人的数值给的不合理。
经典打通关一次就下，结果除了一局天胡皮草大衣四个精英还有一把狗运储君疯狂预定拿粒子墙扛过去全被踹死了，你这双人的敌怪数值给的真的合理吗，运气烂一点直接死在第一层了，谁懂辛辛苦苦打了半天被第二层小怪一脚踹死的救赎感。个人认为难易程度从高到低为2134，人数多给怪物的负面BUFF也多，说白了人越多越好打，目前的游戏时常我是这样理解的。
（鸡煲不知道什么样，我们四人组排压根目前没人玩鸡煲，唯一一次组排双人 单鸡煲打到第二层boss连第二次出刀都没挺过去还在转他那个B冰霜充能球直接睡着了睡着了，等他那个充能球转出来我的剑也差不多出来了，尸体也进沙虫肚子里了。
我请问我请问了难度5双人过了十个小时赢了一把，你和我说说这游戏目前和操作有啥关系呢）我写出来评论确实是有点阴阳怪气了我很抱歉，我现在真的很红，所以亲爱的设计师设计师你可不可以稍微改那么一点点数值呢？不然我之后真的要讲设计师小故事了，亲。我俩就像那个厕所老八，动不动就给我在boss门前火堆门口出个寄生蛙，恋尸癖不容拒绝来的在那给我拉屎，
我俩被塞满了一嘴，一边吃一边吐一边拉，拉完了还要再吃回嘴里去接着吐，结果趁着热乎吃完了发现还有四份小的，
别人那都是货比三家，到你这是真不一样，你家小的你是一点不比大的差，味真足！
契约师都拽到地里了还能直接生出来你是真厉害！真牛逼！
你这一代设计的小怪你不在地图标上我以为是Boss呢，你这小怪数值和他妈大运有啥区别啊？你是不是觉得我每一把都能狗运拿到我自己想要的所有牌啊，你不如直接把圣主那十二符咒给我吧，我直接一件扫荡多好啊。你这是rogue我认了，我操作有问题我活该输，我这把运气不好拿不到想要的我也活该输，你告诉我双人数值你是用观者脚丫子填的吗，
一张打击6点去打四百多血的怪带着三十多层次数伤害打我一刀三十多没吃伤害也要给伤口，你是觉得我每次都能删完牌或者吃掉这种牌还是拿冰淇凌当不休陀螺转起来的？你带着你的这个随机性一整把除了开局那张摸不到一个+辉星的真的合理吗，白牌也摸不到买不到也要看运气是吗？要么就是有星星没星星输出牌，要么有输出牌没星星我也认了，我运气不好，我活该输。
你那个大闸蟹的数值脑袋上顶的东西想出来的吗？设计师小时候吃螃蟹发现螃蟹带盾带火箭+力量吃背身进回响形态了，还有那个蜂窝人啊，次数攻击一下给两下屎，一层的BUFF不够还要给两层，我真不知道设计师脑子里想的是什么，哦你说什么，被晕眩了？那怪不得。
什么设计要让你选择不同角色的情况下吃不同情况的狗屎，以至于我都想开局刷牌选择了，没有想要的牌直接重开，反正到后面多半也拿不到你想要的牌，然后被半道哪来的一只小怪结果打起来比Boss还汗流浃背让一脚踹死了。游戏开局想要重开，游戏初期想要重开，游戏中期想要重开，游戏后期打的也想重开。无论输赢都在纯粹的恶心自己，你以为你赢了是靠操作，骗你的，想让你赢得局狗来了都能赢，不想让你赢的局你再怎么努力也是白扯。什么你说这是rogue和匹配机制没关系啊，你叽里咕噜说什么呢，我这边感染和晕眩没清干净，你写的小卡片我这边看不着。
动不动就加那个奇妙小buff，小巧思哈，不同的怪物亲自喂你吃大差不差的狗屎，人工制品大白菜，还有交通厅量产型来的，主打一个测试玩家角色是否本局力大砖飞，数值不够夸张就该你死在高塔，就战士那个薪火之源才两费，设计师都能算2-2＝5 你把这个数值填进去自己笑没笑出声？我提前帮你把下一代规划好了，你到时候第三代就把防御牌都删了，血量都是格挡条，多出来的牌类就全用来+buff，多来点薪火之源地狱狂徒原始力量这种要操作的卡，一定不能选错目标，像什么用三张技能牌就能直接回到手里打出高贵的六点伤害这种稀有卡实在是太超模了。这谁玩战士能忍住不哭啊，稍微动一动一键扫荡了，太弱势了我们战士哥，打人还要扣血太垃圾了，路边一条的角色。

还要你这个抽牌堆  我问你个事 什么叫打我全是攻击牌 对面强化我都是防御牌 这是一回两回了吗  
你们游戏做出来自己真的玩吗
都说观者在一代数值膨胀一键扫荡，我看观者的数值放在二代也得被大运创死。
暂时先写这么多，我看看这游戏一两年后正式版出来，到底能改点啥。
哦还有你这个多人联机报错断开连接不能重连卡死，我看看你什么时候能修复。",不推荐,56.8,1,0
江郎才尽，设计比预期差太多了,不推荐,29.7,1,0
"好玩爱玩！--2h
联机居然坏档了！！！不快乐了 ！！！！--10h
ps.快修bug啊啊啊啊啊啊啊",推荐,19.3,1,0
"数值平衡太烂了，3费7层覆甲无色金和保留10点格挡外卡钳是人设计出来的数值？1层boss9层无实体每4回合打9x3加塞牌是何意味，先古之民给的遗物更是方差中的方差，要么超级风险项要么超级收益项，想空过都没选项。
大部分时候根本不存在所谓的卡组构建，典中典之一路像条蛆一样缓慢蠕动走一个问号或者抓一张金卡直接原地飞升踹飞所有怪。
小怪和精英不分，怪物个个都是超雄每回合动不动打10+20+加上debuff塞牌，塞牌基本3张起步10张封顶，这作防御基本和运转强绑定，有运转就有防，拿不到加费就没运转，没运转就红色格挡条起甲，然后一路睡觉敲不了牌跟不上怪物强度的提升被滚雪球滚死。加费卡和遗物基本就那几个，人人笑辉哥站未来，塔二人人都是辉哥疯狂战未来。
ea版我有预料过平衡会差，但是真没想到会这么差，我还以为制作组做了那么久的塔一，塔二也内测了那么久，应该不至于太离谱，结果现在一出来纯纯魔法对轰人均未来战士把把给加费牌爹尽孝。",不推荐,39.0,1,0
"[h1] 原汁原味，一脉相承[/h1]
除开本身构筑的多变与灵活，杀戮尖塔最吸引我的就是SL玩法，让一个构筑卡牌游戏玩出了推理解谜的快乐，从一代开始，每次要被斩杀前，我都会选择回溯时间，想想看通过不同的选择是否能[b] 改变时间线，改写结局？ [/b]
而基本上数次尝试后，都能改变未来。在二代，我依旧找到了这种熟悉的感觉。

这其实也是故障机器人这个角色的魅力，相对于其他角色变量大、效果多、成型慢，在1~2层时被boss和精英极易被斩杀，而大部分也能通过回溯和抉择来盘活。
如果有成就（1血，0防，0缓冲，0无实体）的话，仅前5局就已经完成了数次。

杀戮尖塔可以真实地让你体验到：[i] 量变导致质变，偶然寓于必然 [/i]，很多次胜利你都会惊叹过去的某次神来之笔（事件、抓牌、遗物）；也有很多次失败你会感慨当时昏头埋了伏笔。

如果你没玩过一代可以随便选一款开玩，喜欢这个类型你自然会去补另一款；如果你是一代玩家，二代依旧推荐，目前只差后续平衡卡牌和第四层的内容制作。

总的来说，目前的续作绝对是8/10，续写辉煌的水准...",推荐,35.8,2,0
"游戏名：杀戮尖塔2（Slay the Spire 2）
—————————————————
等我启动！
等我启动！！
—————————————————
“又回到这该死的塔了…”
作为塔的续作，他的难度较前作是更难的，设计也更为大胆。在一 二层会出现如寄生蛙、蜂巢术士这般的神秘精英怪（口区！好恶心！），与此相应的，你的卡牌数值/机制也同样强大…应该吧…
—————————————————
联机玩法是我最惊喜的设计，哪怕是萌新也可以在队友的掩护下成功启动，可以说这就是新手最佳入门方式。但也有些美中不足，比如说多人联机下的怪物增幅———四人队vs二层1000多血的小怪！（还有更多！），怪物的血量/机制根据人数进行倍数增长，这样的纯粹膨胀为战斗带来了多余的压力。
—————————————————
目前塔2仍在EA，有些卡牌平衡性问题，数值也有待调整，BUG也不少。（毕竟是EA嘛 等他启动完！）但塔2也依然值得推荐，续作的新内容可谓量大管饱，游戏本身的爽感也极佳，最重要的是可以通过联机一起杀！穿！尖！塔！
—————————————————
我已启动！
我已启动！！！！！！",推荐,27.2,1,0
联机模式是对机宝的史诗级增强[spoiler] 可以浑水摸鱼 [/spoiler]😋机宝，启动！,推荐,12.6,1,0
卡牌游戏，最高的山，最长的河。,推荐,21.9,1,0
联机5小时死档二次，bug很多，观望再买,不推荐,6.0,1,0
"雪莉说
“联机好玩的，单机不如玩一代打mod， 不过这个以后也会有mod，等创意工坊开了如果能一起打mod联机那一定更好玩，就是有一点不太舒服，希望作者添加更多多人存档栏位，朋友临时有事保存了怕顶档没法和别人一起玩，如果能手动存档像博德3那种类似的选择存档改存档名随时多个存档想读取哪个读哪个就好了，如果你也觉得存档可以多加一点可以给我点个赞热度上去给作者看到”
我觉得雪莉说的对。
但2代单机也挺有意思的，以后也应该会越来越有意思，二代鸡煲可以玩成集齐符咒的圣主，这点是我第五喜欢尖塔2改动的一点🤤",推荐,29.5,1,0
首先我是第一次玩的新玩家，其次和我的锻造王剑说去吧,推荐,42.0,1,0
"我说塔2也有个紫皮角色，辉星和铸剑都能一回合秒boss，有没有人懂的
ps：鸡煲现在是我第五喜欢的角色了",推荐,52.0,1,0
重铸鸡煲荣光，太强了我们的鸡煲！！,推荐,32.3,1,0
"塔2作为抢先体验版虽然已经还不错了，但还是有一些平衡缺陷
所以塔2是鸡煲还在启动
所以塔2是鸡煲还在启动
那是因为
那是因",推荐,41.9,1,2
"我玩过1了；但我发现我变得更菜了。。一代我好歹能过图1；现在是用啥也打不过.....我已经开始在怀疑我的智商了。
（感觉自己像原始人，与各位的悲欢不能相通）",推荐,13.7,1,0
"第一把就防哈战通关我说防哈很牛你二龙吗另外卡牌消耗的动画太快了我根本不知道消耗的是哪张以及我马上就要中期答辩了竟然还在这里打游戏真是这辈子有了
",推荐,10.8,1,1
"小时候看到这一集被第三层的书把血上限吃完了
鸡煲怎么办",推荐,15.5,2,0
"好玩无需多言，在一代的基础上做了些有趣的变化。
[h2] 趣味性[/h2]：毫无疑问节目效果是很高的，我很期待在之后的视频中  看到有人因为鬼抽而被怪疯狂扣血上限（[strike] 当然不要是我 [/strike]），因为还在启动而被三层咔咔斩杀，牌组很洁然后被小偷偷关键牌直接红温（[strike]我说放生卡牌后金手指拿回来合情合理 [/strike]） 
[h2] 卡牌 [/h2]：有些卡牌明显强度很高的，也有些明显的combo。比如说战士的抽牌直到抽到非攻击牌，配合已有的根据攻击牌数量1：1加费，攻哈特别强
[h2] 遗物 [/h2]：有的遗物上限很高，趣味性也不错，比如历史书，对新手来说也比钢笔尖什么的好卡，但是这个似乎要带张诅咒一整层（？），到下一层的问号那里才可以兑换。

平衡性估计还要调整，有的boss精英比小怪好打多了。",推荐,32.5,1,0
"在我看来，与其说是2代，不如说是1代的超级威力加强版。ui和核心系统没有什么变化，但是有更多的内容，更多的玩法，更精致的美术。
虽然说是EA，但是完成度还是很高的了，目前没有遇到什么bug，不过遇到过部分汉化不完全的地方，但是不影响使用。
虽然没有标注，但是游戏支持手柄，所以Steamdeck 游玩没有任何问题。",推荐,12.6,1,0
"第二把猎宝蓝鲸鱼开场就给了谋杀（本场战斗每抽一张牌就+1伤害），第一个小怪后空翻，第二个小怪暗影步
直接就感受到了天启，抓牌全抓过牌，刀刀烈火最后boss一刀280，这是初见能给的数值嘛，好爽
种子：WW6CNE5UHL",推荐,53.7,1,1
"我说电流相生+是塔2最强卡有没有懂的
我说电流相生+是塔2最强卡有没有懂",推荐,40.4,0,0
"原汁原味啊，附魔机制虽然也不是第一次见，但是玩着体验确实舒服；黑皮猎宝立绘（和细腻的各种虫虫动画）更是给人意外惊喜呀！联机模式还没试过，看直播感觉很欢乐，改天跟朋友试试~

另外这一作的猎宝是不是过强了，超模卡有点多，纯轮椅角色；储君怎么玩起来比鸡煲还牢hhhh

看好制作组，继续打磨，让杀戮尖塔系列Great Againnnnn!!!",推荐,29.7,1,0
"四人开黑被当路边四条区踢死过于有节目效果。
好玩，爱玩👍",推荐,20.2,1,0
官方能否出个录像回放系统啊，很需要品下每一局,推荐,27.0,1,0
虽然看起来更像是个双向数值爆炸的大型DLC，但不可否认质量齐平1代，也玩得很爽。,推荐,17.9,1,0
"联机做得一坨。怪物数值简单粗暴的按人数翻倍，不考虑某些buff在成倍叠加后难以处理，比如人工制品和小黑那个强制扣一血。怪血量厚得不像话，单机随便处理的怪联机硬刮，怪全体攻击，能给队友套盾的手段太少 全看发牌员心情，大部分时候要去赌商店卖无色牌
联机一整天下来体验不如单机，没拿到核心牌转不起来，看着队友转一整局全是他的回合，自己没伤害没辅助像个透明人。自己转起来硬控其他队友看自己不停说书，5个人看一个人打牌真是太好玩啦！",不推荐,43.4,1,0
一如既往的好玩，2代总体变得更加精致，敌人与主角的机制和数值也更强大。10/10。,推荐,12.1,1,0
"所有人立刻启动蓝色角色，我知道这很难，但这是命令
所有人立刻启动蓝色角色，我知道这很难，但这是命",推荐,46.9,1,1
还是那个味，被二层那个蜜蜂怪人蛰死了一次恶心麻了。痛定思痛，第二次拿下了。选择困难症90分钟才拿下首通还是太捞了。,推荐,45.8,1,0
那个蛆是真恶心吧还有花园鳗，还有很多前期的怪伤害太离谱一来就是15第二回合25功不是哥们？还有新出的骷髅强度给的太高整的其它角色跟原始人一样很呆知道吗,不推荐,22.1,0,0
"曾经我只能孤独看着我的电动力学沉底被地精头子凿飞而落泪
现在我能玩个神秘灾厄骨头人 看着隔壁幽默蓝人养半天爪击养不明白 滑稽绿人转半天背包摸不到精准 奇异搞笑外星人铸剑半天40伤害 最后四个小丑一起被沙虫简单拾取
从一条区的故事变成了四条区的故事，好爽
好爽
极佳游戏体验
✋ABSOLUTE CINEMA🤚

ps.不过有一说一联机不算特别稳定，但是能玩",推荐,22.1,1,0
玩腐蚀波弃牌猎保持嘴角向下太难了，毒猎也是好起来了。,推荐,10.5,1,0
"别乳鸡了，锻刀哥不比鸡煲更加牢固可靠谱？
别乳鸡了，锻刀哥不比鸡煲更加牢",推荐,51.7,1,0
在崩坠和一系列创新以后比一代更随机了，商店和问号的调整让精简不再是多数局的优解,推荐,35.3,1,0
"尖塔来了两位新朋友，涅奥表示欢迎

涅奥：谁来讲个笑话？
鸡煲举手：我我我！
涅奥：很好笑，还有吗？",推荐,52.2,1,0
"这是一个假的合作联机游戏，只能退款，除非出匹配合作联机
This is a fake cooperative online game. It can only be refunded, unless there is a match for cooperative online play.

重要的事情说三遍：
只有好友邀请联机，没有匹配路人联机。
只有好友邀请联机，没有匹配路人联机。
只有好友邀请联机，没有匹配路人联机。
Important things are said three times:
Only play online with friends' invitations, no random matching with strangers.
Only play online with friends' invitations, no random matching with strangers.
Only play online with friends' invitations, no random matching with strangers.",不推荐,1.4,3,1
二代相比一代除了动画和美术稍有改变外其他基本没任何进步，无论玩法还是打牌方式，多了两个新角色，感觉像官方更新了一个大型mod，老实说有点腻了。唯一吸引我的是能多人联机，算是个不错的创新，不知道正式版还会不会多新东西。但为什么不上ns？这游戏不可能只有ns2才带的动吧，我还是想躺着玩,推荐,0.1,0,0
"公司电脑能玩，但家里的电脑进不去游戏，点击启动后过了几秒就闪退了。

已解决
添加启动项--rendering-driver opengl3",推荐,27.2,1,0
"带来几个自制机器人段子
杀虐尖塔2好玩吗
杀虐尖塔2好玩
我们鸡煲真棒（大开门那只猫）
雷电球，雷电球，蒸棒！
冰球，蒸棒！
珍珠球，蒸棒！
打牌，蒸棒！
卡启动，卡启动，蒸棒！
（被）击毙，蒸棒！
我们故障机器人终于不是第四强了，但是排名上没上升你别管
",推荐,26.0,5,0
终于等到这一天了，想当年那个无人问津的小游戏居然发展成今天这样，真是令人感慨,推荐,10.9,1,0
"说实话让我挺失望的,没什么亮眼的创新.
玩起来还没有一代简单爽快,一直觉得很累,",不推荐,4.0,0,0
不懂为什么这么多好评。没觉得和1代比有什么改进，初始卡牌太多，删卡手段太少，玩着不爽。大把模仿杀戮尖塔的游戏玩起来反而比2代爽多了,不推荐,4.6,2,0
联机挺好玩的，单机不如玩一代打mod，不过这个以后也会有mod，等创意工坊开了如果能一起打mod联机那一定更好玩，就是有一点不太舒服，希望作者添加更多多人存档栏位，朋友临时有事保存了怕顶档没法和别人一起玩，如果能手动存档像博德3那种类似的选择存档改存档名随时多个存档想读取哪个读哪个就好了，如果你也觉得存档可以多加一点可以给我点个赞热度上去给作者看到,推荐,20.7,1,0
"吃灰已久的sd终于有了用武之地。虽然目前还是ea阶段，但我觉得内容完成度至少有个六七成了，所以完全可以早买早享受。
塔2的美术风格虽然有人说不习惯但我还挺喜欢的，尤其是卡面精致了挺多，还补全了角色故事。
总而言之，目前虽然有一些无伤大雅的小毛病，比如联机的数值做得有点儿简单粗暴、偶尔会出现没汉化到的文本（基本不影响游玩）等，但个人体验下来塔2目前呈现的新增内容还是挺有诚意的，并非像有些人所谓的只是一代dlc不值票价，至少我个人觉得挺值的，期待后续更新和正式版。",推荐,16.8,1,0
"我现在立刻马上需要塔2上架创意工坊
联机玩MOD 那直接杀死比赛了",推荐,73.9,4,0
"回来吧我的观者
我最骄傲的信仰
历历在目的猛虎
眼泪莫名在流淌
一直记得启动金
还有给力的红蓝
把敌人都给打退
打A20也不累",推荐,7.8,1,0
"感觉不太行，一开始打开就黑屏，网上差了要手动设置内存才可以玩。
游戏性感觉就是1的dlc的感觉没什么拓展性。
每个角色打通了一遍，感觉运气占比比一更大，而且爽度不够。比方说1每层boss会给你加能量上限的遗物，这里并没有，只能通过卡牌来获取额外能量，操作空间更小，再加上怪物的高数值，运气不好就等死重玩。
有些怪难度就不合理，那个很多蛆合在一起的，每回合给你三张卡手拍的，在手里就掉血，还打不出去，打死了之后出来四个还是五个小蛆，每个还都有20多血，每个每回合再给你卡手的，你没aoe清他们，最后就是满手废牌等死。
然后玩那个储君，你玩铸造流派，基本攻击都会被你删完，你就剩铸造的大宝剑，2费保留打一下，有稀有能力牌能让他变成aoe，还有稀有能力牌能让他加一费，触发两次，但就算你都集齐，碰上那个蟑螂小怪，让你头皮发麻。有28-30血，两只强化力量，两只攻击9以上，越来越痛，他们的被动是一次最多只会掉9点血，你这大宝剑怎么打，变成aoe了，再加上触发两次，也就是18血，然而要三费，你就三费，打完就是挨打。宝剑放完又要等他上来。中间防御不够又要挨打。一个小怪能让你打的头皮发麻，但你又不知道你会碰上这个小怪，要提前留好低费多段aoe，有种硬教别人玩的感觉。
还有就是金币，到了商店你基本上就只能删一下卡片，然后看看有没有卡片能买，遗物基本是买不起的，获得藏宝图任务奖励去买，也就是垃圾遗物不能刷新。
但就这居然存在一种遗物，可以不要卡片奖励2次就能获得一个随机遗物。这算平衡么....
然后每关卡打完，给的随机奖励太不平衡，有的三个都是负收益，有个直接给三张一费一回合只会受到一点血的，还不是一次是一回合，用了就无敌一回合，这和那三个都是负收益的比差距也太大了。
总结就是给怪加数值，又不给玩家额外能量遗物，金币获取又少，想要你在低数值里做取舍，然而各种奖励又很不平衡，又有各种小怪天克各种玩法。",不推荐,8.7,0,0
"这游戏目前来说心流体验真的只能打差评，有股LOL海克斯大乱斗给纯AD加成战士随机法强海克斯的美！令人作呕，打了4个小时，愣是一把没爽到，一套牌凑不齐就算了，半套牌想想凑齐都难的要死，这游戏是类魂卡牌？？？

——————————————————

二评，多人游戏跟单人游戏的体验完全不一样，推荐玩多人游戏，虽然血量高很多但是组合拳BUFF更有力，希望游戏后续能够优化一下多人联机的交互感。",不推荐,22.2,1,0
实在不知道这个游戏的美术为什么会变成2代这样 一代虽然没有什么细腻的动画 但是怪也没有长得非常恶心的 2代的怪长得恶心的一抓一大把 游戏还是非常好玩的 但是你怪故意设计成这些恶心的东西恶心玩家是不是有点过分了啊 我玩这个游戏我还得保持注意力不在怪上争取让这些恶心的怪恶心不到我是吗 能不能改改啊？这样做的意义何在？？？？,不推荐,8.8,1,0
"我说选择大于努力，运气大于选择有没有懂的
希望你永远不要遇上针对你的怪厚",不推荐,0.8,2,0
怪强的离谱，虽然成型后的build很变态，但没成型之前是真的纯坐牢,不推荐,8.5,1,0
"已退款，我是第一次写测评，杀戮尖塔1（以下简称S1）是我第一次玩到的如此入迷的卡牌游戏，上手容易精通难，有着无数的随机性和挑战性，同时也是我时长最久的一款游戏。诸如此类的赞美之词我想大家也不是第一次见到，这也足以代表着S1的伟大和难以逾越。下面我要讲一下我退款的原因。
我没有爬多少层楼，只爬了两层，但是操作方面真的是和S1天壤之别，我S1由于经常玩，一般都是键盘WSAD选牌，空格确认，再用键盘选择目标按空格二次确认出牌，偶尔才用一下鼠标，因为一直用鼠标的话会很累。但是S2连这一点，都满足不了我——我一进去，改键，发现WSAD用不了，还有确认出牌不能直接用键盘实行，也不能用键盘选目标，我以为是我改键有问题或者出BUG了，重置默认的按键，发现键盘右边的上下左右依然无法正常选牌，哪怕是默认设置，依然不能用键盘实现大部分操作。而且哪怕是开了加速模式，动作都是很慢很卡顿，我想说等了这么久等这个S2，不应该是好多方面都要比S1的好吗？这操作已经是最基本的了，这都满足不了，要我们出这个钱给你继续折磨玩家吗？反正我是很失望，这个问题不改，我宁愿一辈子困在S1的塔里。",不推荐,0.3,0,4
"过去一直看不起杀戮尖塔，所以从没玩过1代。
这次玩了2代，果然跟我想的一样——一个能让我玩一半睡着的无聊游戏。
画面简陋，技能设计毫无新意，我也搞不懂为什么被吹得这么神，跟其他同类型的游戏比起来毫无亮点，你要说他是这类鼻祖，那你可能少见多怪了，20年前我就见过这样的桌游。鼻祖也不是画风简陋的托词，人家恶魔城就是银河恶魔城的鼻祖，马上要出的恶魔城新版为什么就可以把花风做得这么帅，街霸3.3的画面更是甩你几十条街，你为什么还在用这么简陋的画风？
这种肉鸽游戏我从来不看好，无法是用排列组合的多样性掩盖自己设计丰富度的不足",不推荐,7.3,1,0
挺好的，但是某些怪也太恶心了！！！能不能在精细度优化的前提下让怪好看点！！！太恶心了！！！！！！！！,推荐,29.0,1,1
作为一系列的老玩具，Slay the Spire 2 的确增加了非常多的设定，但是这个画质从原先的风格改为现在这种幼儿园卡牌游戏的画风，请问美工团队是吃什么狗屎吗？,不推荐,0.4,0,1
"死亡收割删掉了那战士就纯他妈靠睡觉？ 有些sb怪物设计出来纯纯恶心人 什么起手30血,每回合只能打20,还有第一关那个狗屁自爆BOSS
憋了几年憋了些狗屁来恶心人",不推荐,44.2,1,0
"玩得爽死了，鸡煲真王朝了有没有懂的；
玩得爽死了，鸡煲真王朝了有没有懂
玩得爽死了，鸡煲真王朝了有没有
玩得爽死了，鸡煲真王朝了有没
玩得爽死了，鸡煲真王朝了有
玩得爽死了，鸡煲真王朝了
玩得爽死了，鸡煲真王朝
玩得爽死了，鸡煲真王
玩得爽死了，鸡煲真
玩得爽死了，鸡煲
玩得爽死了，鸡
玩得爽死了，
玩得爽死了
玩得爽死
玩得爽
玩得
玩",推荐,37.3,4,6
"鸡煲笑话已经过时了,现在是储君笑话了(啊啊啊真的没人觉得储君很萌吗)",推荐,24.3,1,0
一开宝箱就卡死在开箱动画了，玩不了是真难受,不推荐,1.1,1,1
太他妈屌了这个勾八游戏，老子现在痛恨1天只能玩24小时,推荐,15.9,0,0
我宣布鸡煲极有可能不再是杀戮尖塔第四强的角色！,推荐,15.6,0,0
急性肾结石发作疼得我痛苦不堪，玩了一把储君之后，不小心把结石笑尿了,推荐,0.1,0,0
塔2相比于塔1就像丝之歌相比于空洞骑士，牢玩家无脑入,推荐,33.7,0,0
经典续作，值得一玩。先准备100小时以上游戏时间吧。,推荐,9.0,0,0
可以把一层的那个感染状态牌改得没那么恶心吗我求你了。,推荐,25.9,0,0
伟大无需多言。还有储君急需加强，其他保持,推荐,21.9,0,0
敌人种类数量相比一代大幅提升，引入卡牌附魔机制和先古之民奖励后游戏玩法丰富许多，好评。数值需要好好调整，相同层的小怪/精英/BOSS间的强度差距过大，顺风局贪一下就容易半路暴毙。联机的数值比较崩坏，部分敌人在血量和机制翻倍后极难处理（喜欢我4man和墨灵吗），不胡的局遇到就下一把了。,推荐,60.1,0,0
周非凡没有买，但是他应该喜欢玩,推荐,19.9,0,0
"喜欢我储君四张环绕+虚无形态+七星再来一个封印王座最后挂一个星尘嘛？
机器人？谁叫机器人
",推荐,55.7,0,0
好玩，但是遇到了联机保存并退出，再次读档导致黑屏的BUG,推荐,65.1,0,0
"塔1玩了几百个小时，本来我很担心塔2不如塔1，但现在看来我的担心完全是多余的。

另外，这是Godot的胜利！",推荐,4.7,0,0
有待平衡，但内容是真丰富很多了,推荐,32.1,0,0
